1751328000000000,107146.51000000,107359.79000000,107093.35000000,107335.08000000,75.81029000,1751328899999999,8127426.44045850,17981,39.63945000,4250000.29357030,0
1751328900000000,107335.07000000,107449.25000000,107147.82000000,107169.70000000,76.17316000,1751329799999999,8175272.28498780,16791,32.00434000,3435480.50694790,0
1751329800000000,107169.70000000,107298.80000000,107026.93000000,107283.61000000,68.21000000,1751330699999999,7309555.87118690,24785,29.66178000,3178438.38479240,0
1751330700000000,107283.61000000,107392.94000000,107283.60000000,107377.02000000,33.43457000,1751331599999999,3588990.46316340,8685,13.65517000,1465783.45327680,0
1751331600000000,107377.03000000,107486.95000000,107302.04000000,107486.94000000,65.05200000,1751332499999999,6986369.42964520,19855,25.50567000,2739228.28694510,0
1751332500000000,107486.95000000,107540.00000000,107388.69000000,107407.54000000,58.32939000,1751333399999999,6268892.69735110,17170,22.64511000,2433673.93822130,0
1751333400000000,107407.55000000,107519.90000000,107309.35000000,107336.45000000,44.97339000,1751334299999999,4830514.95397430,14888,15.25040000,1638021.88899300,0
1751334300000000,107336.46000000,107385.62000000,107171.42000000,107220.00000000,51.29175000,1751335199999999,5502812.11567650,15675,16.80910000,1803171.08045600,0
1751335200000000,107220.00000000,107310.60000000,107190.21000000,107279.38000000,36.76791000,1751336099999999,3943515.22909570,14475,15.57681000,1670618.31128140,0
1751336100000000,107279.38000000,107334.76000000,107232.60000000,107330.38000000,31.46353000,1751336999999999,3375988.58412580,11818,16.98610000,1822609.29122240,0
1751337000000000,107330.38000000,107410.74000000,107253.56000000,107269.97000000,73.81380000,1751337899999999,7922172.88061370,14394,23.28441000,2499333.55003830,0
1751337900000000,107269.98000000,107269.98000000,107097.87000000,107101.69000000,65.01563000,1751338799999999,6966537.64003500,13997,25.56432000,2739396.97227390,0
1751338800000000,107101.68000000,107157.40000000,107076.95000000,107103.45000000,71.12985000,1751339699999999,7618275.86979830,12251,31.14008000,3335233.80826130,0
1751339700000000,107103.45000000,107223.00000000,107070.20000000,107212.69000000,40.87257000,1751340599999999,4379521.92078180,10250,17.05415000,1827271.63584250,0
1751340600000000,107212.69000000,107212.69000000,107157.95000000,107157.95000000,22.39301000,1751341499999999,2399917.73528350,6619,5.74517000,615709.25933000,0
1751341500000000,107157.96000000,107205.83000000,107105.43000000,107192.38000000,158.72915000,1751342399999999,17012620.30497240,9682,98.30073000,10536293.73569770,0
1751342400000000,107192.39000000,107203.11000000,107179.99000000,107180.00000000,37.99917000,1751343299999999,4073230.44028670,4258,20.86751000,2236903.80141900,0
1751343300000000,107179.99000000,107183.96000000,107066.75000000,107076.21000000,60.33161000,1751344199999999,6462791.57808840,11673,31.99994000,3427604.73378400,0
1751344200000000,107076.20000000,107097.01000000,107046.80000000,107046.81000000,43.54484000,1751345099999999,4662634.55346200,7965,9.07017000,971183.43125630,0
1751345100000000,107046.81000000,107046.81000000,106867.43000000,106881.60000000,119.87809000,1751345999999999,12819608.14184790,19087,28.00699000,2994190.99451970,0
1751346000000000,106881.60000000,106931.60000000,106766.30000000,106790.11000000,118.40476000,1751346899999999,12650081.03508910,16931,32.91512000,3517123.93686200,0
1751346900000000,106790.11000000,106838.00000000,106743.00000000,106748.28000000,109.81347000,1751347799999999,11725409.28756640,11495,64.43105000,6879670.43863490,0
1751347800000000,106748.29000000,106906.71000000,106740.00000000,106824.19000000,107.92368000,1751348699999999,11526105.95742860,17606,66.58885000,7110613.54790420,0
1751348700000000,106824.20000000,106967.76000000,106780.00000000,106932.49000000,66.34542000,1751349599999999,7092969.24247670,14326,27.56765000,2946863.54851400,0
1751349600000000,106932.49000000,106932.49000000,106760.00000000,106788.69000000,62.55697000,1751350499999999,6684187.84208960,12203,16.36527000,1748524.61536610,0
1751350500000000,106788.69000000,106865.40000000,106758.24000000,106772.10000000,34.05903000,1751351399999999,3637580.68803510,10398,18.62671000,1989379.08659940,0
1751351400000000,106772.09000000,106834.08000000,106761.30000000,106828.61000000,27.52905000,1751352299999999,2939942.22679250,7224,14.09052000,1504757.16090930,0
1751352300000000,106828.61000000,106904.78000000,106823.19000000,106890.77000000,43.17764000,1751353199999999,4614767.09994450,10348,25.30792000,2704830.99055220,0
1751353200000000,106890.77000000,107000.00000000,106890.77000000,106927.88000000,74.11650000,1751354099999999,7927970.49576290,11217,39.02535000,4174696.91033710,0
1751354100000000,106927.89000000,106935.87000000,106615.97000000,106903.31000000,128.88883000,1751354999999999,13758218.44149260,26864,43.94474000,4690673.63069760,0
1751355000000000,106903.31000000,107029.41000000,106882.88000000,106935.87000000,99.30931000,1751355899999999,10623368.55576600,20323,44.04708000,4712295.69906220,0
1751355900000000,106935.87000000,107178.99000000,106923.17000000,107178.99000000,134.09999000,1751356799999999,14359772.37882530,15750,78.16516000,8368083.37267750,0
1751356800000000,107178.99000000,107178.99000000,106893.47000000,106893.47000000,86.38166000,1751357699999999,9244205.57303070,17224,25.11898000,2688312.09425750,0
1751357700000000,106893.47000000,106950.00000000,106893.47000000,106907.51000000,73.40612000,1751358599999999,7848889.06567330,11243,23.34168000,2495712.61018760,0
1751358600000000,106907.51000000,106935.87000000,106729.35000000,106741.09000000,45.23454000,1751359499999999,4832327.55797690,17402,14.50116000,1549060.13341360,0
1751359500000000,106741.09000000,106762.60000000,106681.52000000,106710.12000000,77.32899000,1751360399999999,8253113.29151240,14149,38.06760000,4062881.46814190,0
1751360400000000,106710.12000000,106794.09000000,106684.02000000,106702.35000000,58.49037000,1751361299999999,6243389.35817600,17425,24.61138000,2626856.71996010,0
1751361300000000,106702.36000000,106715.00000000,106585.72000000,106696.07000000,113.61242000,1751362199999999,12116487.53878460,20450,51.98163000,5543946.90456820,0
1751362200000000,106696.08000000,106696.08000000,106500.00000000,106509.91000000,142.74714000,1751363099999999,15211221.58938850,21917,44.29011000,4721137.69345460,0
1751363100000000,106509.91000000,106596.45000000,106500.00000000,106556.39000000,74.29542000,1751363999999999,7914948.57572080,15569,40.09977000,4271998.09461920,0
1751364000000000,106556.39000000,106633.31000000,106510.00000000,106510.01000000,100.99563000,1751364899999999,10763391.00090320,17632,46.62180000,4968495.03388800,0
1751364900000000,106510.00000000,106558.25000000,106470.49000000,106470.49000000,71.52154000,1751365799999999,7618089.62395030,11495,23.59615000,2513399.56562940,0
1751365800000000,106470.50000000,106500.00000000,106360.86000000,106378.90000000,126.81328000,1751366699999999,13495232.80818260,18815,50.66943000,5391614.89868740,0
1751366700000000,106378.89000000,106497.91000000,106301.86000000,106490.42000000,169.55719000,1751367599999999,18035450.63970580,23309,80.38572000,8550851.50991920,0
1751367600000000,106490.42000000,106588.29000000,106335.59000000,106335.61000000,82.31654000,1751368499999999,8768031.39791070,18441,37.80352000,4027276.16761960,0
1751368500000000,106335.60000000,106503.32000000,106317.17000000,106491.56000000,81.47624000,1751369399999999,8669094.42628560,15906,38.34136000,4078978.10658730,0
1751369400000000,106491.55000000,106619.60000000,106491.55000000,106556.07000000,74.67931000,1751370299999999,7959248.77131050,10279,53.14222000,5663902.90712730,0
1751370300000000,106556.08000000,106622.05000000,106512.08000000,106605.80000000,55.95995000,1751371199999999,5963649.66946490,10671,31.90128000,3399947.25401010,0
1751371200000000,106605.79000000,106706.05000000,106564.43000000,106574.92000000,60.97698000,1751372099999999,6501389.75512440,11927,24.48922000,2611304.60627890,0
